"MB_CODIGO";"MB_IMPLEMENTACAO"
21;"returns selected elements selected list vector vector selected choices vector vector vector selected list selected indices selected list selected indices indices length vector add selected indices vector"
22;"returns user selected elements method called selected choices vector vector selected selected"
23;"adds selected elements choices list selected list updates gui add selection vector choices choices choices remove choices choices size list model choices list model remove element choices selected add choices choices size list model selected list model add element choices"
24;"removes selected elements selected list adds choices list updates gui remove selection vector choices selected choices selected remove choices choices size list model selected list model remove element choices choices add choices choices size list model choices list model add element choices"
25;"called okbutton pressed closes dialog sets returnvalue option pane option dialog dialog set visible value option pane option"
26;"called cancel button pressed closes dialog sets returnvalue option pane cancel option resets selected list originally preselection otherwise selected list emptied cancel selected remove elements pre selected selected add pre selected dialog dialog set visible value option pane cancel option"
27;"org argouml explorer rules perspective rule rule name string rule name translator localize misc project machine"
28;"org argouml explorer rules perspective rule children java lang object collection children object parent collection col array list parent project iterator project parent user defined models iterator col add model model management helper model elements model meta types machine col"
29;"org argouml explorer rules perspective rule dependencies java lang object set dependencies object parent todo"
30;"constructor uml tag definition type value list model uml tag definition typed values list model typed value"
31;"org argouml uml uml model element list model build model list build model list target collection typed values model facade typed values target collection tagged values hash set iterator typed values iterator tagged values add model facade model element container set elements tagged values"
32;"org argouml uml uml model element list model valid element object valid element object element iterator model facade typed values target iterator element equals model facade model element container"
33;"constructor action set association role base action set association role base"
34;"java awt event action listener action performed java awt event action event action performed action event action performed source uml combo box uml combo box source uml combo box source object assoc source selected item object source target model facade base assoc base set assoc check otherwise setbase below exception model facade association assoc model facade association role model collaborations helper set base assoc"
35;"constructor uml model element list model test param arg name test uml model element list model test string arg arg"
36;"junit framework test set set exception set build element tests coded assume immediate event delivery theyve modified flush tfm event policy factory impl event policy factory impl set event policy factory impl event policy immediate build model model set target elem model pump flush model events"
40;"tests programmatically adding multiple elements list test add multiple object elements fill model model pump flush model events equals model size equals model element elements equals model element elements equals model element elements"
41;"developers set attribute listmodel method contents attribute form model element elements inside attribute model element object fill model"
42;"test removal elements list test remove multiple object elements fill model model pump flush model events remove half model elements model pump flush model events equals model size equals elements model element"
43;"developers remove half contents attribute method remove upper elements attribute param elements element remove half model object elements"
44;"param model model set set model uml model element list model model model model"
45;"returns model uml model element list model model model"
46;"param element elem set set elem object element elem element"
47;"returns elem object elem elem"
48;"constructs uml radio button panel param buffered panel param title title titledborder buttons title border shown param labeltexts actioncommands map keys containing texts buttons values containing actioncommand permits set action logically recognize button param property set name name event fired property changes value param set action action registred buttons thats executed buttons pressed param horizontal buttons layed horizontaly uml radio button panel buffered string title map labeltexts actioncommands string property set name action set action horizontal buffered set layout horizontal grid layout grid layout set buffered title titled border border titled border title border set title font font set border border set buttons labeltexts actioncommands set action set property set name property set name"
49;"constructs uml radio button panel param title title titledborder buttons param labeltexts actioncommands map keys containing texts buttons values containing actioncommand permits set action logically recognize button param property set name name event fired property showns changes value param set action action registred buttons thats executed buttons pressed param horizontal buttons layed horizontaly uml radio button panel string title map labeltexts actioncommands string property set name action set action horizontal title labeltexts actioncommands property set name set action horizontal"
50;"initially constructs buttons param labeltexts actioncommands map keys containing texts buttons values containing actioncommand permits set action logically recognize button param set action action registred buttons thats executed buttons pressed todo forces buttons key map arbitrary hash map changed allow designer specify tfm set buttons map labeltexts actioncommands action set action enumeration button elements elements button button button element button remove button remove iterator labeltexts actioncommands key set iterator string key label string radio button button radio button key label button add action listener set action string action command string labeltexts actioncommands key label button set action command action command button set font look feel mgr instance font button add button add button"
51;"java beans property change listener property change java beans property change event property change property change event property name equals property set name build model"
52;"returns target object object target panel target"
53;"sets target removes adds listener target param target target set set target object target target target fig fig target owner target model facade model element panel target model pump remove model event listener panel target property set name panel target target model facade model element panel target model pump add model event listener panel target property set name panel target build model"
54;"returns property set name string string property set name property set name"
55;"sets property set name param name property set name set set property set name string name property set name name"
56;"builds model selects radiobutton value attribute shown name method choosen compliant example uml model element list model build model"
57;"selects radiobutton action command param action command action command button selected set selected string action command enumeration button elements button model model elements model button element model action command equals model action command model set selected"
58;"org argouml targetmanager target listener target added org argouml targetmanager target event target added target event set target target"
68;"param fmp fig messageport set fig message port fig message port fmp fig message port fmp"
69;"call fig message port initial created called call implicit returned implicit created"
70;"called fig message port initial created call called returned implicit returned implicit created"
71;"object caller fig message port callers callers contains caller"
72;"returned fig message port call called created implicit returned implicit created"
73;"matching caller list object caller caller index callers callers index caller caller index implicit returned called"
74;"create call"
75;"destroy call"
76;"created fig message port initial"
77;"destroyed destroyable node fig message port call created called returned implicit returned implicit created destroyable node fig classifier role index destroyable node fig classifier role node count message node node fig classifier role node node fig message port destroyable node destroyable node"
78;"constructor utility violated setup head desc add supported decision uml decision storage add supported decision uml decision stereotypes add supported decision uml decision selection add trigger stereotype add trigger behavioral feature"
79;"org argouml uml cognitive critics uml predicate java lang object org argouml cognitive designer predicate object designer dsgr check base stereotype condition normally covers model facade classifier model facade utility collection classes check array list classes check add model core helper supertypes classes check add model core helper realized interfaces classes check add iterator classes check iterator object model facade iterator model facade attributes iterator model facade instance scope found iterator model facade operations iterator model facade instance scope found"
80;"constructor action send action action send action value action name translator localize button sendaction"
81;"org argouml uml behavior common behavior action action create action object create action model common behavior factory create send action"
82;"returns singleton action send action instance singleton"
83;"create chooser objects chooser button object selection optionally button cancel action close dialog window element dispose dialog param element current session panel dialog component chooser element"
84;"provide pannel added tabbed pane panel panel configuration info plugin parameters component config panel"
85;"method returns vector objects objects selected chooser rearranged arbitrary param element current session vector objects selected chooser vector list element"
86;"tells object parseable param object tested parseable parseable object"
87;"parseable object list parsed method objects parsed defined list param current project param object parsed param diagram current diagram invoked param element current session object common settings exception kinds parse file project object diagram diagram element exception"
88;"provide layout modified created diagram param diagram layout layouter classdiagram layouter layout uml diagram diagram"
89;"constructor uml vertex incoming list model uml vertex container list model container"
90;"org argouml uml uml model element list model build model list build model list remove elements add element model facade container target"
91;"org argouml uml uml model element list model valid element object valid element object base element model facade container target element"
92;"constructor uml model element element residence list model uml model element element residence list model element residence"
93;"org argouml uml uml model element list model build model list build model list set elements model facade element residences target"
94;"org argouml uml uml model element list model valid element object valid element object base model facade element residence model facade element residences target contains"
95;"constructor action change event action change event value name translator localize button changeevent"
96;"org argouml uml behavior machines action event create event java lang object object create event object model machines factory build change event"
97;"returns singleton action change event singleton singleton"
98;"determine meta type subtype param type parent metatype param sub type metatype test subtype sub type sub type type sub type object type object sub type"
99;"method returns classifiers direct indirect subtype param cls parents collection parents generalizable element collection supertypes object cls"
100;"method returns classifiers direct subtype param ogeneralizableelement parents collection parents generalizable element collection supertypes object ogeneralizableelement"
101;"method returns opposite association classifier param classifier classifier opposite association collection opposite associationends collection associate object classifier"
102;"method returns opposite association classifier including inherited param classifier classifier opposite association collection opposite associationends collection associate inh object classifier"
103;"method removes feature classifier param cls classifier param feature feature removed remove feature object cls object feature"
104;"method returns name feature param feature name deprecated tfmorris link facade name object string feature name object"
105;"method returns object method param object method deprecated bob duplicate method model facade method object facade method object method object"
106;"method returns object operation param object operation deprecated bob duplicate method model facade operation object facade operation object operation object"
107;"method returns operations classifier param classifier classifier operations collection operations collection operations object classifier"
108;"method replaces operations classifier collection operations param classifier classifier param operations operations set operations object classifier collection operations"
109;"method returns attributes classifier param classifier classifier attributes collection attributes collection attributes object classifier"
110;"method replaces attributes classifier collection attributes param classifier classifier param attributes attributes set attributes object classifier collection attributes"
111;"method returns attributes classifier including inherited param classifier classifier attributes collection attributes collection attributes inh object classifier"
112;"method returns operations classifier including inherited param classifier classifier operations collection operations collection operations inh object classifier"
113;"method parameters operation parameter direction type returned parameters returned paramter returned message logged deprecated tfmorris parameters parameters object param operation operation parameter operation paramter otherwise object parameter object operation"
114;"returns parameters operation param operation operation collection collection parameters object operation"
115;"returns operation method realized returns object isnt method possibly method isnt properly defined method facade name looking specification method facade specification object param object method realized operation operation object specification object object"
116;"returns interfaces realization duplicate method name facade facade specifications object param classifier interfaces collection interfaces collection specifications object classifier"
117;"method returns classifiers direct supertype param cls children collection children generalizable element collection subtypes object cls"
118;"returns behavioralfeatures found element children param element element collection collection behavioral features object element"
119;"returns behavioral features classifier param clazz classifier collection behavioral features classifier collection behavioral features object clazz"
120;"returns interfaces found namespace children param namespace collection interfaces found collection interfaces object"
121;"returns classes found namespace children param namespace collection collection classes object"
122;"interfaces realizes param cls classifier collection collection realized interfaces object cls"
123;"returns classes generalizable element param clazz generalizable element collection collection extended classifiers object clazz"
124;"generalization generalizable elements returns none param achild child generalizable element param aparent parent generalizable element generalization object generalization object achild object aparent"
125;"body comment param comment comment body comment string body object comment"
126;"returns flows source modelelement target modelelement param source source model element param target target model element collection collection flows object source object target"
127;"returns elements extend param clazz generalizable element collection collection extending elements object clazz"
128;"returns classifiers extend classifier param clazz classifier collection collection extending classifiers object clazz"
129;"returns components found namespace children param namespace collection collection components object"
130;"returns components found namespace children param namespace collection collection data types object"
131;"returns components found namespace children param namespace collection collection nodes object"
132;"classifiers associated classifier association relationship classifier param aclassifier classifier collection collection associated classifiers object aclassifier"
133;"associations classifiers returns association param classifier param classifier collection associations collection associations object object"
134;"returns classifiers found namespace children param namespace namespace collection collection classifiers found namespace collection classifiers object namespace"
135;"returns associations classifier param oclassifier classifier collection associations classifier collection associations object oclassifier"
136;"returns associationend classifier associaton param type classifier param assoc association association object association object type object assoc"
137;"returns contents owned elements classifier parents specified section uml spec param clazz classifier collection collection contents object clazz"
138;"returns attributes classifier parents param clazz classifier collection collection attributes object clazz"
139;"returns set containing model elements visible outside namespace additional operation uml spec param namespace collection modelelements collection visible elements object"
140;"returns source relation source relation defined modelelement propagates relation sources returned source returned examples sources include classifiers types associationends usecases bases extend include relations source allways start arrow fig destination method source link todo move method generic model helper param relationship relation object object source object relationship"
164;"add connection param handle association link param connection association link add connection object handle object connection"
1.754;"recognizer guard param handle candidate handle guard guard object handle"
141;"returns destination relation destination relation defined modelelement receives relation destinations returned destination returned examples sources include classifiers types associationends usecases bases extend include relations association destination defined type element connections list method links todo move method generic model helper param relationship relation object object destination object relationship"
142;"returns dependencies supplier modelelement client modelelement vica versa relationship dependency client supplier param supplier obj model element param client obj model element collection collection dependencies object supplier obj object client obj"
143;"returns relationships source dest modelelement vica versa param source source model element param dest destination model element collection collection relationships object source object dest"
144;"returns modelelement owned namespace param obj model element param obj namespace valid namespace object obj object obj"
145;"namespace namespaces share returns namespace owns namespaces owner namespaces param name space param name space namespace object shared namespace object object"
146;"returns namespaces selected modelelement namespaces allowed decided method valid namespace param model element model element param model model search collection collection namespaces object model element object model"
147;"returns children generalizableelement levels complete tree excluding generalizable element param generalizable element collection illegal exception circular reference collection children object"
148;"returns interfaces realized superclasses interfaces occur twice collection returned reference param collection collection realized interfaces object"
149;"param association association investigated association association composite composite object association"
150;"param association association param type aggregation string lower letter composite aggregation kinds equals aggregation object association string type"
151;"remove modelelement comment param handle comment param model element remove annotated element object handle object"
152;"method removes dependency model element param handle model element param dep dependency remove client dependency object handle object dep"
153;"remove constraint model element param handle model element param cons constraint remove constraint object handle object cons"
154;"removes owned model element namespace param handle name space param value model element remove owned element object handle object value"
155;"method removes parameter operation param handle operation param parameter parameter remove parameter object handle object parameter"
156;"remove source flow model element param handle model element param flow flow remove source flow object handle object flow"
157;"adds supplier dependency modelelement param supplier supplier param dependency dependency remove supplier dependency object supplier object dependency"
158;"removes named tagged value model element subsequent calls tagged value name tagged value name added param handle model element remove tagged value param name name tagged value illegal argument exception handle isnt model element remove tagged value object handle string name"
159;"add target flow model element param handle model element param flow flow add remove target flow object handle object flow"
160;"adds annotated element comment param comment comment element annotated param annotated element element annotate add annotated element object comment object annotated element"
161;"adds client model element dependency param handle dependency param element model element illegal argument exception handle dependency element model element add client object handle object element"
162;"adds client dependency modelelement param handle modelelement param dependency dependency add client dependency object handle object dependency"
163;"add comment model element param element element comment added param comment comment model element add comment object element object comment"
221;"sets model element root param handle model element param flag root set root object handle flag"
165;"adds constraint model element param handle model element param constraint add constraint object handle object"
166;"param handle component param node node add deployment location object handle object node"
167;"adds feature classifier param handle classifier param index position param feature add feature object handle index object"
168;"adds feature classifier param handle classifier param feature add feature object handle object"
169;"add link link association param handle link association param link link add link object handle object link"
170;"adds method operation copies ops attributes method param handle operation param method add method object handle object"
171;"adds model element namespace param handle namespace param model element add owned element object handle object"
172;"add parameter object location param handle object parameter event behavioral feature param index location param parameter object added add parameter object handle index object parameter"
173;"add parameter object param handle object parameter object flow event behavioral feature classifier param parameter object added add parameter object handle object parameter"
174;"add raised signal message operation param handle message operation param sig signal raised add raised signal object handle object sig"
175;"add source flow model element param handle model element param flow flow add source flow object handle object flow"
176;"adds supplier classifier abstraction param handle abstraction param element supplier model element add supplier object handle object element"
177;"adds supplier dependency modelelement param supplier supplier param dependency dependency add supplier dependency object supplier object dependency"
178;"adds tagged value model element param handle model element param tagged value tagged value add tagged value object handle object tagged value"
179;"add target flow model element param handle model element param flow flow add add target flow object handle object flow"
180;"sets model element param handle classifier param flag set object handle flag"
181;"makes active param handle param active set active object handle active"
182;"sets aggregation model element param handle model element set aggregation param aggregation aggregation set aggregation object handle object aggregation"
183;"sets list annotated elements comment param handle comment param elems list annotated modelelements set annotated elements object handle collection elems"
184;"sets association model element param handle model element set association param association association set association object handle object association"
185;"sets model element leaf param handle model element param flag leaf set leaf object handle flag"
186;"sets raised signals behavioural feature param handle behavioural feature param raised signals raised signals set raised signals object handle collection raised signals"
187;"sets body method constraint param handle method constraint param expr body expression method procedure expression constraint expression set body object handle object expr"
188;"set changeability structural feature association param handle structural feature association param changeable set changeability object handle object"
189;"set changeability feature param handle feature param flag changeability flag set changeable object handle flag"
190;"set child generalization param handle generalization param child generalizable element set child object handle object child"
191;"set concurrency operation param handle operation param concurrency concurrency set concurrency object handle object concurrency"
192;"sets list connections association link param handle association link param elems list association link set connections object handle collection elems"
193;"sets value parameter param handle parameter param expr expression set value object handle object expr"
194;"param handle generalization param discriminator discriminator set set discriminator object handle string discriminator"
195;"set feature position param elem classifier set param position start param impl feature set set feature object elem object impl"
196;"sets features model element param handle model element set features param features list features set features object handle collection features"
197;"set implementation location element residence component param handle element residence param component component deprecated tfmorris set container set container object object set implementation location object handle object component"
198;"set container element residence component param handle element residence param component component set container object handle object component"
199;"sets initial value param attribute set initial value param expr value set code code set initial value object object expr"
200;"set parameters param handle parameter param directionkind set object handle object"
201;"set parameters param handle parameter deprecated bobtarling link set object object set object handle"
202;"set parameters param handle parameter deprecated bobtarling link set object object set object handle"
203;"set parameters param handle parameter deprecated bobtarling link set object object set object handle"
204;"set parameters param handle parameter deprecated bobtarling link set object object set object handle"
205;"sets container owns handle warning implementation support setting owner actions set etc action goal specific method set owner set container etc method param handle modelelement added container param container owning modelelement exception illegal argument exception handle container handle added container set model element container object handle object container"
206;"sets multiplicity model element param handle model element param arg multiplicity string multiplicity object set multiplicity object handle object arg"
207;"sets name modelelement param handle model element param name set set name object handle string name"
208;"sets body comment note uml actually set comment name uml sets comment body behavior change api param handle comment element param body string set body object handle string body"
209;"sets namespace modelelement param handle model element param namespace code code set namespace object handle object"
210;"sets navigability association param handle association param flag navigability flag set navigable object handle flag"
211;"set association param handle association param set object handle object"
212;"set owner feature param handle feature param owner classifier set owner object handle object owner"
213;"param handle feature param scope set owner scope object handle object"
214;"sets parameters classifier event objectflowstate behavioralfeature param handle classifier event objectflowstate behavioralfeature param parameters collection parameters set parameters object handle collection parameters"
215;"sets parent generalization param handle generalization param parent generalizable element parent set parent object handle object parent"
216;"set power type generalization param handle generalization param classifier set powertype object handle object"
217;"sets qualified attributes association param handle association param elems collection qualifiers set qualifiers object handle collection elems"
218;"sets query flag behavioral feature param handle behavioral feature param flag query flag set query object handle flag"
219;"param handle element residence param resident model element set resident object handle object resident"
220;"sets residents model element param handle model element param residents collection set residents object handle collection residents"
222;"param handle flow param specifications collection model events source flow set sources object handle collection specifications"
223;"set specification flag model element param handle model element param specification set specification object handle specification"
224;"set specification operation method param method method param specification operation set specification object method object specification"
225;"set specification operation param operation operation param specification operation set specification object operation string specification"
226;"sets specifications association param handle association param specifications collection set specifications object handle collection specifications"
227;"adds stereotype modelelement param model element model element param stereo stereotype add stereotype object model element object stereo"
228;"adds collection stereotype modelelement param model element model element param stereos stereotype add stereotypes object model element collection stereos"
229;"removes stereotype modelelement param handle model element param stereo stereotype remove stereotype object handle object stereo"
230;"removes stereotypes modelelement param handle model element stereotypes object handle"
231;"sets tagged value modelelement param handle model element param tag tag name string param value value set tagged value object handle string tag string value"
232;"set tagged values model element param handle model element param tagged values collection tagged values set tagged values object handle collection tagged values"
233;"set target scope association structural feature param handle model element param scope target scope set target scope object handle object scope"
234;"sets type parameter param handle model element param type type classifier set type object handle object type"
235;"set uuid element deprecated tfm uuid guaranteed value settable settable required tagged valued mechanism param handle base element base type param uuid uuid set uuid object handle string uuid"
236;"set visibility modelelement param handle element param visibility visibility set visibility object handle object visibility"
237;"remove deployment location param handle component remove deployment location param node node removed remove deployment location object handle object node"
238;"remove connection association association link link param handle association link param connection association link remove connection object handle object connection"
239;"add element residence param handle model element param residence element residence add add element residence object handle object residence"
240;"remove element residence param handle model element param residence element residence remove remove element residence object handle object residence"
241;"set list literals enumeration param enumeration enumeration add enumeration literals param literals list enumeration literals set enumeration literals object enumeration list literals"
242;"returns names metatypes metamodel todo method rightly belongs separate dealing instances mof types opposed uml types rest methods collection containing strings names metatypes collection metatype names"
243;"constructor tab props tab properties prop panel"
244;"constructor param tab name name tab param panel base panel base tab props string tab name string panel base tab name target manager instance add target set orientation config loader tab props orientation panel base name panel base set layout border layout array list list argo plugins pluggable property panel list iterator iterator list list iterator iterator object iterator pluggable property panel ppp pluggable property panel panels ppp panel ppp property panel argo event pump add listener argo event types module event"
245;"java lang object finalize finalize throwable finalize argo event pump remove listener argo event types module event"
261;"org argouml targetmanager target listener target removed org argouml targetmanager target event target removed target event set target target manager instance single target fire target removed validate repaint"
